Sales Region;Sales Country;Vehicle Production Region;Vehicle Production Country;OEM Group;Brand;Make Model;Global Segment;Propulsion;Fast-Charging;Battery kWh;Cathode Chemistry;Cell Supplier;2009;2010;2011;2012;jan-13;feb-13;mar-13;apr-13;maj-13;jun-13;jul-13;aug-13;sep-13;okt-13;nov-13;dec-13;2013;jan-14;feb-14;mar-14;apr-14;maj-14;jun-14;jul-14;aug-14;sep-14;okt-14;nov-14;dec-14;2014;jan-15;feb-15;mar-15;apr-15;maj-15;jun-15;jul-15;aug-15;sep-15;okt-15;nov-15;dec-15;2015;jan-16;feb-16;mar-16;apr-16;maj-16;jun-16;jul-16;aug-16;sep-16;okt-16;nov-16;dec-16;2016;jan-17;feb-17;mar-17;apr-17;maj-17;jun-17;jul-17;aug-17;sep-17;okt-17;nov-17;dec-17;2017;jan-18;feb-18;mar-18;apr-18;maj-18;jun-18;jul-18;aug-18;sep-18;okt-18;nov-18;dec-18;2018;jan-19;feb-19;mar-19;apr-19;maj-19;jun-19;jul-19;aug-19;sep-19;okt-19;nov-19;dec-19;2019;jan-20;feb-20;mar-20;apr-20;maj-20;jun-20;jul-20;aug-20;sep-20;okt-20;2020;Cumulative Sales
Americas;USA;Europe;Germany;VW Group;Audi;Audi A3 PHEV;Car-C;PHEV;NA;8,8;NMC;Panasonic-Sanyo;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;49;49;327;248;332;326;361;353;349;346;312;348;394;589;4285;387;400;414;301;294;324;218;129;85;17;38;270;2877;145;199;214;189;267;238;208;224;234;172;143;158;2391;29;5;6;;;;;;;;;;40;;;;;;;;;;;0;9642
Americas;USA;Europe;Germany;VW Group;Audi;Audi A8 PHEV;Car-F;PHEV;NA;14,1;NMC;LG Chem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;3;5;6;13;15;;45;45
Americas;USA;Americas;Mexico;VW Group;Audi;Audi Q5 PHEV;SUV-D;PHEV;NA;14,1;NMC;LG Chem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;191;406;191;126;222;261;333;405;475;;2610;2610
Americas;USA;Europe;Belgium;VW Group;Audi;Audi e-tron Quattro EV;SUV-E;BEV;CCS;95;NMC;LG Chem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;253;856;726;678;593;434;462;621;746;5369;534;592;585;314;336;511;762;816;718;;5168;10537
Americas;USA;Europe;Germany;BMW Group;BMW;BMW 330e PHEV;Car-D;PHEV;NA;7,6;NMC;Samsung SDI;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;19;25;67;26;81;51;54;92;215;240;870;129;144;365;260;475;496;387;409;329;307;477;363;4141;101;142;202;166;150;138;144;221;206;281;475;590;2816;92;113;84;21;2;1;1;1;;1;;1;317;;;;;;;;;;;0;8144
Americas;USA;Europe;Germany;BMW Group;BMW;BMW 330e PHEV;Car-D;PHEV;NA;12;NMC;Samsung SDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;15;19;29;35;38;;146;146
Americas;USA;Europe;Germany;BMW Group;BMW;BMW 530e PHEV;Car-E;PHEV;NA;9,2 / 12,0;NMC;Samsung SDI;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;13;147;239;343;345;511;596;872;706;3772;224;413;689;518;729;942;735;838;980;971;1047;1635;9721;521;480;594;445;714;804;434;601;340;361;391;619;6304;326;223;197;72;123;150;106;102;164;;1463;21260
Americas;USA;Europe;Germany;BMW Group;BMW;BMW Active-E EV;Car-C;BEV;NA;32;NMC;Samsung SDI;;;;673;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;0;673
Americas;USA;Europe;Germany;BMW Group;BMW;BMW i3 EV / EREV;MPV-B;BEV;CCS;22/33/42;NMC;Samsung SDI;;;;;;;;;;;;;;;;;0;;;;;336;358;363;1025;1022;1159;816;1013;6092;670;1089;922;406;818;551;935;792;1710;986;723;1422;11024;182;248;332;814;696;608;1479;1013;391;442;629;791;7625;382;318;703;516;506;567;601;504;538;686;283;672;6276;382;623;992;503;424;580;464;418;461;424;490;356;6117;255;350;359;331;439;473;304;385;467;359;918;214;4854;45;12;7;20;85;83;131;220;265;;868;42856
Americas;USA;Europe;Germany;BMW Group;BMW;BMW i8 PHEV;SS;PHEV;NA;7,1 / 11,7;NMC;Samsung SDI;;;;;;;;;;;;;;;;;0;;;;;;;;9;58;204;126;158;555;85;113;143;138;117;137;217;210;182;149;118;656;2265;32;54;89;130;146;169;166;145;158;199;173;133;1594;50;58;49;23;18;22;55;29;27;33;44;80;488;32;39;47;57;64;45;72;67;55;64;133;97;772;23;47;91;87;145;280;101;90;68;64;55;51;1102;24;31;11;13;15;21;19;21;7;;162;6938
